,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
danceability,1.0,0.4261792162556322,0.1504847252702581,0.25080719883428865,-0.04126688043916665,0.34037025379135627,-0.3021854826642984,-0.11247898641025066,-0.28055145348711014,0.6577330384008331,0.18716786352521536,-0.4325820609039243,0.21062236354183514
energy,0.4261792162556322,1.0,0.24526709748970546,0.7304371910098859,-0.21811547977260845,0.2818665796057654,-0.4871036818271635,0.12569415669332482,0.0077716890760628115,0.7550081180837461,0.40184481628178076,-0.4225272388416984,0.15693493551133988
key,0.1504847252702581,0.24526709748970546,1.0,0.22574850974007318,0.020968461988685395,0.021135080975812823,0.09669907679287937,-0.13763877346804995,0.04897600409218282,0.21084740206367494,0.14800446161332942,-0.10123458169892753,0.10411910757722277
loudness,0.25080719883428865,0.7304371910098859,0.22574850974007318,1.0,-0.11047742376157214,0.03198201490084118,-0.30919338354537773,-0.11740358145352828,0.06977035287393622,0.47542303760761645,0.1595889749932519,-0.30181366632615847,-0.01628916564520233
mode,-0.04126688043916665,-0.21811547977260845,0.020968461988685395,-0.11047742376157214,1.0,-0.19643174375560818,-0.005135195657112985,-0.1576723266956985,-0.06567418885364922,-0.11735433854667812,-0.07972125557186469,0.08890488823519915,-0.18227821499342242
speechiness,0.34037025379135627,0.2818665796057654,0.021135080975812823,0.03198201490084118,-0.19643174375560818,1.0,-0.11006498206543394,-0.0703598171534115,-0.07085769949804387,0.30083452288275636,0.3216554118403534,-0.23953167573402673,0.15563564219671078
acousticness,-0.3021854826642984,-0.4871036818271635,0.09669907679287937,-0.30919338354537773,-0.005135195657112985,-0.11006498206543394,1.0,-0.24236113403928847,0.0814321253703712,-0.48555271216229035,-0.263277104554543,0.2472589677407847,-0.1129200654365618
instrumentalness,-0.11247898641025066,0.12569415669332482,-0.13763877346804995,-0.11740358145352828,-0.1576723266956985,-0.0703598171534115,-0.24236113403928847,1.0,-0.0017176294383072774,0.10882880485850317,0.12044648637480926,0.019006598717348836,0.12293203049665204
liveness,-0.28055145348711014,0.0077716890760628115,0.04897600409218282,0.06977035287393622,-0.06567418885364922,-0.07085769949804387,0.0814321253703712,-0.0017176294383072774,1.0,-0.058253989996444294,0.1432220279250201,0.11655538111449597,0.012965256786924147
valence,0.6577330384008331,0.7550081180837461,0.21084740206367494,0.47542303760761645,-0.11735433854667812,0.30083452288275636,-0.48555271216229035,0.10882880485850317,-0.058253989996444294,1.0,0.4890045132401664,-0.5829394656227487,0.2211306396017767
tempo,0.18716786352521536,0.40184481628178076,0.14800446161332942,0.1595889749932519,-0.07972125557186469,0.3216554118403534,-0.263277104554543,0.12044648637480926,0.1432220279250201,0.4890045132401664,1.0,-0.3839401832377603,0.0474892096351229
duration_ms,-0.4325820609039243,-0.4225272388416984,-0.10123458169892753,-0.30181366632615847,0.08890488823519915,-0.23953167573402673,0.2472589677407847,0.019006598717348836,0.11655538111449597,-0.5829394656227487,-0.3839401832377603,1.0,-0.10819093493118728
time_signature,0.21062236354183514,0.15693493551133988,0.10411910757722277,-0.01628916564520233,-0.18227821499342242,0.15563564219671078,-0.1129200654365618,0.12293203049665204,0.012965256786924147,0.2211306396017767,0.0474892096351229,-0.10819093493118728,1.0
